SIZE
20;
20;
ENDSIZE
TILESET
1;
basic_walls.png;
ENDTILESET
TILE
4;
0,0,0;
0,32,0;
0,64,0;
0,0,32; // dummy black
ENDTILE
STRUCTURE
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3;
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3;
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3;
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3;
2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2;
3,2,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,2,3;
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3;
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3;  // main platform
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2;
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2;
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2;
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2;
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2;
ENDSTRUCTURE
OBSTACLE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1;
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1;
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
ENDOBSTACLE
